CSV Report,2023-09-21_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
,63,0.494198947795743,48,0.433663918011686,63,0.500012324572617,48,0.438705198666396,63,0.366860251553416,48,0.348582132603887,63,0.378237719602805,48,0.359754569471865,63,0.355001832848223,48,0.348511137205312,63,0.368966574015815,48,0.362378494280829,63,0.365308126333415,48,0.359100407004573,63,0.376578836719822,48,0.36875877817438,63,0.0244141883583934,48,0.0243729666636829,63,0.0243032781111338,48,0.0242749987806268,63,0.0054833000431577,48,0.0053503184442076,63,0.00552308356918106,48,0.00540839748526727,63,0.00675838231648427,48,0.00690339941613897,63,0.0068459995468925,48,0.00689031079977701,63,0.0245225693883744,48,0.0244753494318504,63,0.0245084140082768,48,0.0244424482717389
,62,0.490855060008837,49,0.43740925048608,62,0.496583749933161,49,0.442430208715423,62,0.365916012185804,49,0.349928135001284,62,0.377256700533099,49,0.36114087654457,62,0.354749643032072,49,0.349112039949019,62,0.368810969334502,49,0.363047468110077,62,0.365055560476049,49,0.359490768107799,62,0.376303647882117,49,0.369333583997297,62,0.0243666465260164,49,0.0243548019457144,62,0.0243248297620863,49,0.0242620633738608,62,0.00546752696344535,49,0.00536127540666578,62,0.00552446615221596,49,0.0054201133074359,62,0.00675714384463429,49,0.00690833891037501,62,0.00686970923811147,49,0.00686293390511909,62,0.0245311438605601,49,0.0244656267876307,62,0.0245108934705089,49,0.0244382648337341
,61,0.487466742803493,50,0.441006870734661,61,0.4932535347008,50,0.446065418078675,61,0.365001151621344,50,0.35128206121485,61,0.376347133981682,50,0.362540094319989,61,0.354517180233958,50,0.349729087501,61,0.368588221305842,50,0.363690935440179,61,0.364802099510661,50,0.359890039548722,61,0.376049126999924,50,0.369858666101726,61,0.0243614099172592,50,0.0243316342315028,61,0.0243173378192304,50,0.0242695769938504,61,0.00549831004783528,50,0.00536909208135134,61,0.00553653935839786,50,0.00540509477242529,61,0.00675431744361151,50,0.00687276670043897,61,0.00689165890189496,50,0.00682702899347885,61,0.0245247137481317,50,0.0244683610585421,61,0.0245175659548325,50,0.0244085100289647
,60,0.484123199515112,51,0.444812485816132,60,0.489976381114183,51,0.449772740630753,60,0.364078390797974,51,0.352534604153422,60,0.375454886690967,51,0.363865982650569,60,0.354229109387848,51,0.350417054576158,60,0.368276010783366,51,0.364389004228359,60,0.364568236654725,51,0.360362370177034,60,0.375822407799347,51,0.370359594805214,60,0.0243629888948413,51,0.0243210410226701,60,0.0242818282094547,51,0.0242633127284025,60,0.0054768152186176,51,0.00535630439177755,60,0.00555465874167117,51,0.00538894446485622,60,0.00677349206876783,51,0.00686820253092707,60,0.00686310519045212,51,0.00682310736055535,60,0.0245113155968301,51,0.0244540144599501,60,0.02449492853464,51,0.0244106793192749
,59,0.480958423660153,52,0.448605285164244,59,0.486696670874903,52,0.453515527927592,59,0.363161701497022,52,0.353757833767882,59,0.374548484449866,52,0.365197460884399,59,0.353914540447397,52,0.351065433683884,59,0.36798268171464,52,0.365057794564866,59,0.36436964405938,52,0.36080128968642,59,0.375572816586397,52,0.370895539020468,59,0.0243897736903404,52,0.0242933414501095,59,0.0242604684073445,52,0.0242205845302315,59,0.005450209192755,52,0.00535213025347432,59,0.0055441551300758,52,0.0053911379384247,59,0.00678739224186495,52,0.00685325581492424,59,0.00682576651621129,52,0.00681856659701929,59,0.0245082716354949,52,0.024436907817206,59,0.0244749238883633,52,0.0243993792504552
,58,0.47767226774028,53,0.452266429328769,58,0.483217094563225,53,0.457420576808348,58,0.36220007175785,53,0.354945577011598,58,0.373569428703384,53,0.366427055539145,58,0.353760348325,53,0.351751965488826,58,0.367556299634905,53,0.365764394288267,58,0.364170431451546,53,0.361222184739499,58,0.375281473387487,53,0.37142399615849,58,0.0243635684105305,53,0.0242957553142493,58,0.0242656198886612,53,0.0242698975179185,58,0.00546085575448409,53,0.00536763449954982,58,0.00553553661725617,53,0.0054374397157118,58,0.00676194743567903,53,0.00686377546440188,58,0.00682564601839712,53,0.00684117886185168,58,0.0245103268142474,53,0.0244460011088504,58,0.0244742085503166,53,0.0244088644326353
,57,0.474256838934948,54,0.456105205059712,57,0.479792574164328,54,0.461188293046136,57,0.361221209655093,54,0.356112087750663,57,0.372578052809046,54,0.367616609747016,57,0.353633140209831,54,0.352656835534115,57,0.367099897232652,54,0.366406886098221,57,0.36391806400214,54,0.361689431028217,57,0.37499134007264,54,0.371960029297098,57,0.0243437002776867,54,0.0243146258168857,57,0.0242650699361959,54,0.0242963488651948,57,0.00547454810640972,54,0.00538493251756762,57,0.00553563992201759,54,0.00540864092316077,57,0.00678792010682558,54,0.00687887185909461,57,0.00682245657162986,54,0.0068794257501465,57,0.0245187042540446,54,0.02444728983584,57,0.024462163611659,54,0.0244313589040358
,56,0.470782074890803,55,0.459879141822529,56,0.47634293181203,55,0.465057163906703,56,0.360292844741502,55,0.35730628151931,56,0.371581913481179,55,0.368871385067584,56,0.353137950428336,55,0.353727052777931,56,0.366650252207733,55,0.367189212879323,56,0.363655082712626,55,0.362152362799373,56,0.374665687479079,55,0.372504619772145,56,0.0243689499883508,55,0.0243273276323717,56,0.0242629070480953,55,0.024259750616562,56,0.00547301396108313,55,0.00539425036029185,56,0.00553751416982367,55,0.00539680357669457,56,0.00682090690258804,55,0.00685994388813833,56,0.00682337901770564,55,0.00683253755902516,56,0.0245204716857395,55,0.024447511352409,56,0.024454685265296,55,0.0243995776067904
,55,0.467398656658925,56,0.463532384704844,55,0.472929370679034,56,0.468864396630141,55,0.359310620273887,56,0.358423840291163,55,0.370576253880238,56,0.37012894858966,55,0.352647889158555,56,0.354721345253099,55,0.366219534245856,56,0.367873799519984,55,0.363397513379347,56,0.362626607379531,55,0.374344554029778,56,0.373033143238425,55,0.0243872058471251,56,0.0243098558368172,55,0.0242632429103076,56,0.0242791458805726,55,0.00547952273067166,56,0.00541724893566236,55,0.00550381011878459,56,0.00541346562616926,55,0.00679399353813994,56,0.00684200328232458,55,0.00683938979728673,56,0.00683907192091387,55,0.0245310710014403,56,0.0244578519109524,55,0.0244543553414187,56,0.0244292030379045
,54,0.463927695497731,57,0.467235751981611,54,0.469263263781604,57,0.472551760011029,54,0.358294108616123,57,0.359550989608236,54,0.369518591625057,57,0.371350956425759,54,0.352184395998805,57,0.355418169867638,54,0.365770721533019,57,0.368604145185814,54,0.363094286539102,57,0.36314727085061,54,0.373946383225485,57,0.373629421203179,54,0.0243810441023088,57,0.0243373100973665,54,0.0242756745530304,57,0.024262429987162,54,0.00548994729716993,57,0.00541797855538278,54,0.00550555681037385,57,0.00540946766717952,54,0.00679168206588753,57,0.00686901733451528,54,0.00685314452080948,57,0.00684623225006188,54,0.0245212238423612,57,0.0244753002498238,54,0.024475818960474,57,0.0244458060949197
,53,0.460282320692366,58,0.470923153658146,53,0.46563879945499,58,0.476434932495494,53,0.357316830417785,58,0.360662060028809,53,0.368445730634716,58,0.37257561450954,53,0.351734856216851,58,0.355952694617169,53,0.365319039904602,58,0.369399121442129,53,0.362718263018566,58,0.363663411616266,53,0.373537902471256,58,0.374192577195391,53,0.024382941996423,58,0.0243504762318948,53,0.0242984333726527,58,0.0242052675906089,53,0.00549224750898259,58,0.00540355967631468,53,0.0055203578528892,58,0.00539271305965374,53,0.00680323275411108,58,0.00689142212381269,53,0.00686524152425381,58,0.00680622810920702,53,0.0245232171211599,58,0.0244711982321589,53,0.024461910015746,58,0.0244032609271553
,52,0.456731824496327,59,0.47438607669194,52,0.462017144988973,59,0.479992409974848,52,0.356202010049152,59,0.361718577464761,52,0.367356026790987,59,0.37379553762187,52,0.35142051493564,59,0.356450873788644,52,0.364916223761908,59,0.370209727515242,52,0.362353820528693,59,0.364136062322587,52,0.373160727868596,59,0.374754351884905,52,0.0243917653284921,59,0.0243233526832069,52,0.0242778828188242,59,0.024176054603795,52,0.00546329216851564,59,0.00538681402755778,52,0.00551665565710631,59,0.00540977102348914,52,0.00680233045980044,59,0.00686457173287447,52,0.00685187928279359,59,0.0068146619045749,52,0.0245047829093876,59,0.0244607488370728,52,0.0244366769219262,59,0.024404735207761
,51,0.452989255305713,60,0.477872129683483,51,0.458394645848259,60,0.483627664225864,51,0.355105307654969,60,0.362836617789704,51,0.366233428513876,60,0.374998094335803,51,0.351192080148083,60,0.356728849064587,51,0.364491731298548,60,0.370813159911072,51,0.361986741949036,60,0.364622076218051,51,0.372701051356815,60,0.375289164530006,51,0.0243808016960845,60,0.0243105427414228,51,0.0242609823642637,60,0.0241971300484021,51,0.00546527600428655,60,0.00540900893206829,51,0.00549120496998156,60,0.00543978596346748,51,0.00679451093803585,60,0.00688024700914379,51,0.00685902976854781,60,0.00685383400926364,51,0.0245018555976193,60,0.0244775392687426,51,0.024445179352563,60,0.0244316873207462
,50,0.449318654723255,61,0.481425622086026,50,0.454673677254984,61,0.486761623369464,50,0.35396593434909,61,0.363891599204857,50,0.365069397981726,61,0.376180310003812,50,0.350818840762819,61,0.356976960536852,50,0.364025120976256,61,0.371425594303356,50,0.361630384519179,61,0.36507864291875,50,0.372197223906745,61,0.375855439105445,50,0.0244048101395317,61,0.0243037928483936,50,0.0242755111263789,61,0.0242110974592981,50,0.00546435280353726,61,0.00542873166468326,50,0.00549007383941421,61,0.00545402168672923,50,0.00683314886377115,61,0.00687198680897368,50,0.00687697927454473,61,0.00684851813047552,50,0.0245095806353664,61,0.0244714995992733,50,0.0244331643812956,61,0.0244373866022247
,49,0.445805037133056,62,0.484890206677617,49,0.450903898514171,62,0.489305240900524,49,0.35285182202424,62,0.364897827503983,49,0.363870326330477,62,0.377277840776249,49,0.350253009917317,62,0.357562871105435,49,0.36351429460655,62,0.371994078614025,49,0.361233884453767,62,0.365565727006098,49,0.371664842308716,62,0.376391362996891,49,0.0243793657042485,62,0.0242773795854915,49,0.0243088755441243,62,0.0242052282336661,49,0.00547716586276318,62,0.0054267001174834,49,0.00549690397702905,62,0.00543278950010332,49,0.00683740686657352,62,0.00686954547455128,49,0.0068939098128088,62,0.00685157582731628,49,0.0244760211215892,62,0.0244543086268723,49,0.0244496488834992,62,0.0244265654594059
,48,0.442146666807528,63,0.488419333053011,48,0.447347208162746,63,0.492297820578024,48,0.351658975879135,63,0.365876306648176,48,0.362628105749512,63,0.378367860960332,48,0.349658157665306,63,0.358139514090449,48,0.363056430595096,63,0.372539633671698,48,0.36084395652483,63,0.365973971334989,48,0.37121243205633,63,0.376900403463808,48,0.0243735797707495,63,0.0242845063580291,48,0.0243467036167233,63,0.0241944076710423,48,0.00548488325278795,63,0.00543811955981982,48,0.00549752984854451,63,0.00543010310865821,48,0.00684106981020186,63,0.0068754003831607,48,0.00695641681110633,63,0.00683354467921997,48,0.0244796521866308,63,0.0244745182729047,48,0.0244964713976974,63,0.0244292622593355
,47,0.438534498693107,64,0.491875885594918,47,0.44378688238036,64,0.495627474708377,47,0.350333628000662,64,0.36681885580192,47,0.36130625893472,64,0.37939882593042,47,0.349115095941014,64,0.358551196135793,47,0.362502006924855,64,0.372935100095842,47,0.360458402629827,64,0.36633790991388,47,0.37066089040425,64,0.377374501312983,47,0.0243874716722519,64,0.0242674568842258,47,0.024344545515936,64,0.0241974679325716,47,0.0054655309005212,64,0.00544876350787233,47,0.00549375858488907,64,0.00544817829419875,47,0.00684480897582456,64,0.00683880571520317,47,0.00692650994552025,64,0.00683433451412444,47,0.0244789766563981,64,0.024477570639359,47,0.024460580998312,64,0.0244249738817819
,46,0.435015677743398,65,0.495287791593336,46,0.440170899982613,65,0.499167996443467,46,0.349050943969352,65,0.367737901712882,46,0.359943926053144,65,0.380341187638055,46,0.348572414068657,65,0.358911091391277,46,0.361937857703632,65,0.373249316623568,46,0.360028493812256,65,0.366695177802302,46,0.37006817429339,65,0.377825178581674,46,0.024387823138839,65,0.024274640461708,46,0.0243335703316178,65,0.0241865281964332,46,0.0054608311287322,65,0.0054386107993461,46,0.00552423172409532,65,0.00544874727978783,46,0.00686920955920337,65,0.00682011472792958,46,0.0069113101539233,65,0.0068350286084128,46,0.0244826184831211,65,0.0244583293152634,46,0.0244569725480277,65,0.0244331721768218
,45,0.431491111107055,66,0.498715676145597,45,0.436515608671144,66,0.502707802436513,45,0.347726202551583,66,0.368630013483412,45,0.358499567921936,66,0.381271035213244,45,0.347981777084567,66,0.359192027611209,45,0.361364328498802,66,0.373630197178787,45,0.359550898692902,66,0.367027854155103,45,0.369500928938063,66,0.378250626255441,45,0.0244173497964722,66,0.0242660890816068,45,0.0242990785030475,66,0.0241997672717804,45,0.00548642694142177,66,0.00542915391099479,45,0.00548861674656896,66,0.00548496460300781,45,0.00690351207895839,66,0.00682279460394952,45,0.00688896404415081,66,0.00683903333716685,45,0.0244985124519722,66,0.0244495359072768,45,0.0244266008021342,66,0.0244444216852873
,44,0.427915616947653,67,0.502140542687686,44,0.433168002555601,67,0.50609075780125,44,0.3463117221342,67,0.369540796212962,44,0.357046931027321,67,0.382180411110859,44,0.347357839587126,67,0.359496660913525,44,0.36081896972419,67,0.374018031284411,44,0.359093400641603,67,0.367386880709285,44,0.368931736433237,67,0.378639340420652,44,0.0244085753842117,67,0.0242470592771967,44,0.024307611208069,67,0.0242206459376976,44,0.00547735983824683,67,0.00543817624991896,44,0.00548408402205181,67,0.00547830515766665,44,0.00688262151346934,67,0.00684092355704208,44,0.00690138426379526,67,0.00684503619828345,44,0.0244803297355974,67,0.0244680349623968,44,0.0244329555111061,67,0.0244395399239237
,43,0.424649852985945,68,0.505698626859032,43,0.429690724588351,68,0.509438935172771,43,0.344764964127272,68,0.370645157963688,43,0.355481904347896,68,0.383116810102413,43,0.346741929736014,68,0.360076144428311,43,0.360124717855854,68,0.374383586537629,43,0.358619711647499,68,0.367756598231926,43,0.368211476173336,68,0.379048134368114,43,0.0243896356040192,68,0.0242494245389124,43,0.0243314839660647,68,0.0242109649546667,43,0.00544374371177208,68,0.00544809471355646,43,0.0054893001848612,68,0.00546243896150799,43,0.00688705036737014,68,0.00684980970336237,43,0.00691998128045263,68,0.00685014876564783,43,0.0244580323753686,68,0.024475336950153,43,0.0244360695197948,68,0.0244388547367307
,42,0.42133257702875,69,0.509339383723389,42,0.426285683848825,69,0.512521595094109,42,0.343236213452697,69,0.37163140280006,42,0.353960003269627,69,0.384065240888105,42,0.346114586869957,69,0.360672504193258,42,0.35943754671048,69,0.374710156703815,42,0.358125025479069,69,0.368106948778133,42,0.367547898355924,69,0.379411759458911,42,0.024404457440424,69,0.0242865273806717,42,0.0243428722913169,69,0.024168329347785,42,0.00543241532611779,69,0.00546969070514243,42,0.00546648930684049,69,0.00546377231183152,42,0.0069041692576926,69,0.00686092586196617,42,0.00691562105424668,69,0.00682119821565438,42,0.0244639830467241,69,0.0245080617842161,42,0.0244392800299741,69,0.0244202837513644
,41,0.418102880162644,70,0.512920757294388,41,0.423055681851097,70,0.515623737894856,41,0.341708657713384,70,0.372363758247736,41,0.352389869504038,70,0.384969928660118,41,0.345411823483511,70,0.361018705359125,41,0.358642838897256,70,0.375126563973959,41,0.357614236305343,70,0.36838929532067,41,0.36679187566991,70,0.379771387193059,41,0.02444353336553,70,0.024332264275452,41,0.0243163391551025,70,0.024171321844187,41,0.00543246499934306,70,0.00549906217814232,41,0.00546500295052481,70,0.00546501095525931,41,0.00690178151156335,70,0.00688400715170086,41,0.00687902139544322,70,0.00681113992753449,41,0.0244943303437081,70,0.0245171999006095,41,0.0244133267492574,70,0.0244389159628531
,40,0.414865268359063,71,0.516368319695455,40,0.419692325032842,71,0.518625920484866,40,0.340224660750797,71,0.37320039493356,40,0.350819869385325,71,0.385925223000884,40,0.344627304459945,71,0.361456040841619,40,0.357857039437623,71,0.375742593057704,40,0.357027832074936,71,0.368675720368467,40,0.365996721183223,71,0.380124512778229,40,0.0244370249432081,71,0.0242936270850939,40,0.0243182575118418,71,0.0241584753067926,40,0.00542219111997406,71,0.00550091137006351,40,0.00546015357486455,71,0.00546668656234186,40,0.00688448806103533,71,0.00686642480167479,40,0.00689127970843142,71,0.00679966520686645,40,0.024474211888158,71,0.024508631194209,40,0.024390786614102,71,0.0244353161642115
,39,0.411701601932913,72,0.520004590390046,39,0.416422732789636,72,0.521802244219653,39,0.338706145163943,72,0.374062207497366,39,0.349275672471019,72,0.386845772774917,39,0.343796653627605,72,0.36198408094964,39,0.35699433747793,72,0.376402917429806,39,0.356442190031493,72,0.368967828955875,39,0.365185976901009,72,0.380447143458864,39,0.0244177856440866,72,0.0243118987679276,39,0.0243228176810005,72,0.0241442385815154,39,0.00539727360604561,72,0.00549792793031318,39,0.00545365429175934,72,0.0054597786473259,39,0.0068797056010158,72,0.00689596474747329,39,0.0069015190541469,72,0.00680464136273117,39,0.0244445519242086,72,0.0245498334258502,39,0.0244160144716655,72,0.0244308537504509
,38,0.408628891334956,73,0.523743258397558,38,0.413386011526977,73,0.524878829511015,38,0.33728959034223,73,0.374905201071765,38,0.347833209060985,73,0.387794610782312,38,0.342941909895558,73,0.362417971857084,38,0.356087596433806,73,0.377210316695497,38,0.35582083799306,73,0.36928690438887,38,0.364318016073309,73,0.380752827525036,38,0.0243764445900518,73,0.0243102475998019,38,0.0243405699817439,73,0.0241650734493172,38,0.00541297112020102,73,0.00549901064453945,38,0.00548041820311803,73,0.00546289729946883,38,0.00688469479862289,73,0.00690555921808626,38,0.00690907729752516,73,0.00682719667108765,38,0.0244749337926624,73,0.0245394264929667,38,0.0244035106475122,73,0.0244558345496161
,37,0.405582438918416,74,0.527505888013349,37,0.410382639718626,74,0.52811600886463,37,0.335873780197583,74,0.37579427021282,37,0.346322793674712,74,0.388813833028874,37,0.341974611749446,74,0.3627457506129,37,0.35507999882212,74,0.377916236941758,37,0.355120750972639,74,0.369561537323374,37,0.363402631945119,74,0.381091732872759,37,0.0243871912941904,74,0.0242666677715938,37,0.0243451450219463,74,0.0241993804587765,37,0.00542936930038282,74,0.00550299992892934,37,0.00544976720595793,74,0.00548701454594975,37,0.00687439816344809,74,0.00687918649683264,37,0.00690863178181201,74,0.00685724395518778,37,0.0244633507387041,74,0.0245283946160582,37,0.0244052399050693,74,0.0244785080385191
,36,0.402616618853782,75,0.531388078734157,36,0.407361188196563,75,0.531388285863096,36,0.334437639319046,75,0.376719886011968,36,0.344935952007666,75,0.389868907712979,36,0.340979510909408,75,0.363115703135621,36,0.354072377975589,75,0.378260634471376,36,0.354415200059691,75,0.369863994850035,36,0.362513815497734,75,0.381434817293547,36,0.0244025681260025,75,0.0242846990993785,36,0.0243806308368923,75,0.024216994606848,36,0.00540947891599428,75,0.00550338254278034,36,0.00546252926995173,75,0.00549189698033568,36,0.00686996699749034,75,0.00687531297299948,36,0.00695644326699232,75,0.00685915997857168,36,0.0244573911084618,75,0.0245428762343432,36,0.024414258605011,75,0.024469902035049
,35,0.399721540751401,76,0.535070133818438,35,0.404413366622915,76,0.53455079679492,35,0.333113465842558,76,0.377700429233818,35,0.343497959068493,76,0.390954935114069,35,0.339953623373426,76,0.36367137986352,35,0.352994481528763,76,0.378382708807251,35,0.353714157529889,76,0.370208232197673,35,0.361589044874974,76,0.381797993808891,35,0.0244330144088875,76,0.0242902889397816,35,0.0243208362250793,76,0.0241939575628752,35,0.00543113468080655,76,0.00550952297171077,35,0.00543635309050481,76,0.00549012558572278,35,0.00689439959233315,76,0.00688330072954815,35,0.00692125417757493,76,0.00682747313688568,35,0.0244806531808773,76,0.0245341350578166,35,0.0243821828988365,76,0.0244654362576812
,34,0.396793336575583,77,0.538874499404856,34,0.401545029370473,77,0.537937799389956,34,0.331809799160708,77,0.378664822346798,34,0.342115576749128,77,0.392031650733436,34,0.338936489020442,77,0.364360858813393,34,0.351889966747265,77,0.378582698974787,34,0.352914629873405,77,0.370510647893376,34,0.36065610998948,77,0.382185934264155,34,0.024421939867175,77,0.0242744553686747,34,0.0243206767896935,77,0.0241915339997078,34,0.0054543063309525,77,0.00553006248465529,34,0.00545124421594855,77,0.00550902203277426,34,0.00690597053806321,77,0.00687202052439278,34,0.00692435124859254,77,0.00679955239354641,34,0.0244700592309823,77,0.0245146235449479,34,0.0243891689234558,77,0.0244618618519618
,33,0.393970661001951,78,0.542536171692758,33,0.398572174582527,78,0.541349259291352,33,0.330437124352576,78,0.379646954011272,33,0.340776431244401,78,0.392968248110628,33,0.337841239800289,78,0.364963468208926,33,0.350745475028545,78,0.378875640895542,33,0.35209973342689,78,0.370859332660439,33,0.359677137865834,78,0.382576345216468,33,0.0244080213820575,78,0.0242596240064525,33,0.0243100894041876,78,0.0242230775174331,33,0.0054057201281009,78,0.00551960780458395,33,0.00542244595512689,78,0.00550463987880291,33,0.00690109162070649,78,0.00685348314413102,33,0.00693951584605807,78,0.00684327700360402,33,0.0244576976445517,78,0.0245109957814771,33,0.0243853963947459,78,0.0244927245667884
,32,0.391123923992457,79,0.546306334845756,32,0.395635256405895,79,0.544795433395232,32,0.329141421515943,79,0.380616535910999,32,0.339337198533455,79,0.394011386990472,32,0.336741025173373,79,0.36534310714648,32,0.349592823444161,79,0.379078347258256,32,0.351221378144058,79,0.371248770594618,32,0.358707927204309,79,0.38285459729343,32,0.0243981479935377,79,0.0242795775968524,32,0.0243279632948711,79,0.0242006896699581,32,0.0053916837897032,79,0.00550351791961058,32,0.00543939514331507,79,0.00551113098884645,32,0.00688340732157303,79,0.00686556101814952,32,0.00693235713433445,79,0.00682223100557922,32,0.0244452453253754,79,0.0245341646936642,32,0.0243905734941067,79,0.0244879319067954
,31,0.38832637672086,80,0.550095115212783,31,0.392825239831833,80,0.548037252633123,31,0.327766265410597,80,0.381731925090505,31,0.337984191856468,80,0.395065151330165,31,0.335642443066846,80,0.365624943854589,31,0.348512753848669,80,0.379261398247833,31,0.350333605618162,80,0.371611783347002,31,0.357700219536338,80,0.383093440506813,31,0.0243950786709956,80,0.0242867993616362,31,0.0243464293991025,80,0.0241913233812196,31,0.00540975536976498,80,0.00551889555173705,31,0.00543975031920099,80,0.00551281815636938,31,0.0068786448133737,80,0.00688025587820939,31,0.00695430891134577,80,0.00682065834703569,31,0.0244736786331308,80,0.0245390149380824,31,0.0243868297185255,80,0.0244850460453378
,30,0.385498310307483,81,0.554098691408396,30,0.389877842436513,81,0.551421063949802,30,0.326367329603684,81,0.382850589510099,30,0.336563276665373,81,0.39596768577168,30,0.334617052290531,81,0.365943111983451,30,0.347420794852007,81,0.379526734494832,30,0.349394543241082,81,0.371968256104901,30,0.356774260423476,81,0.383378821191677,30,0.0244131483031048,81,0.024283327014663,30,0.0243696141352654,81,0.024221416054744,30,0.00540799837711925,81,0.00550915491459159,30,0.00544317614901774,81,0.00550254850647753,30,0.00690149000552166,81,0.00688825270065236,30,0.00695871763431251,81,0.00683620303788708,30,0.0244547570375235,81,0.0245329779929882,30,0.0243930798038014,81,0.0245067323706499
,29,0.382685934644565,82,0.55806509122753,29,0.387011778240721,82,0.554755824313634,29,0.324965086935794,82,0.383847510718545,29,0.335107267307827,82,0.397005595893986,29,0.33363730838534,82,0.366450113286225,29,0.346362306128328,82,0.380150833972615,29,0.348392773322726,82,0.372288213708172,29,0.355862770341741,82,0.383775115780964,29,0.0244052367796322,82,0.0242709195736758,29,0.0243574146727535,82,0.024243323641398,29,0.00537965080406721,82,0.0055229852720791,29,0.00544220291855908,82,0.00553050853472691,29,0.00692219137904656,82,0.00688168589095419,29,0.00697009037092493,82,0.00686637511069556,29,0.0244334282891477,82,0.0245128588558606,29,0.0244044625425757,82,0.0245235180575279
,28,0.379833265890234,83,0.561643641742357,28,0.384561786600633,83,0.558139634638129,28,0.323620069531502,83,0.384899486544157,28,0.333890690156325,83,0.398121751502263,28,0.332732580014245,83,0.366900945012418,28,0.345563497589097,83,0.38100241527732,28,0.347553678588558,83,0.372635659849159,28,0.355097901107372,83,0.384250335195038,28,0.0244189750097017,83,0.0242711163554481,28,0.0243513609292503,83,0.0242406698648823,28,0.0053741581905114,83,0.00555218447917866,28,0.00543721058086848,83,0.00552359648441808,28,0.00693339239530165,83,0.00689509406320226,28,0.00696086488906011,83,0.00684161967346591,28,0.0244422605904309,83,0.0245399120505747,28,0.0243984176557374,83,0.0245184882404729
,27,0.377406050380988,84,0.564777047331135,27,0.381893132957697,84,0.561635451005018,27,0.32228295701325,84,0.386022350917282,27,0.332479543557969,84,0.399089101956185,27,0.331862109828283,84,0.367232343905154,27,0.344643263324845,84,0.381327962160123,27,0.346661289075181,84,0.373038507271292,27,0.354182681772374,84,0.384690406881132,27,0.0244172545321569,84,0.0242870370152776,27,0.0243198050703384,84,0.0242470109904118,27,0.00537877535728579,84,0.00554236182110368,27,0.00543986466615355,84,0.0055352681212647,27,0.00691933591782314,84,0.00687571144814763,27,0.00693542018960307,84,0.00683388560639888,27,0.0244661982384543,84,0.0245541022171383,27,0.0243679455888666,84,0.0245215473170986
