	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm
141	14	0 mM MgCl2	260.0	21.0	90.0	1	Heating	142	2023-08-18_RNA_melting_CaCl2_VS.csv																							
142	15	0 mM MgCl2	260.0	90.0	21.0	2	Cooling	143	2023-08-18_RNA_melting_CaCl2_VS.csv																							
143	16	0 mM MgCl2	260.0	21.0	90.0	2	Heating	144	2023-08-18_RNA_melting_CaCl2_VS.csv																							
144	17	500 mM MgCl2	400.0	90.0	21.0	1	Cooling	145	2023-08-18_RNA_melting_CaCl2_VS.csv																							
145	18	500 mM MgCl2	400.0	21.0	90.0	1	Heating	146	2023-08-18_RNA_melting_CaCl2_VS.csv																							
146	19	500 mM MgCl2	400.0	90.0	21.0	2	Cooling	147	2023-08-18_RNA_melting_CaCl2_VS.csv																							
147	20	500 mM MgCl2	400.0	21.0	90.0	2	Heating	148	2023-08-18_RNA_melting_CaCl2_VS.csv																							
148	21	100 mM MgCl2	400.0	90.0	21.0	1	Cooling	149	2023-08-18_RNA_melting_CaCl2_VS.csv																							
149	22	100 mM MgCl2	400.0	21.0	90.0	1	Heating	150	2023-08-18_RNA_melting_CaCl2_VS.csv																							
150	23	100 mM MgCl2	400.0	90.0	21.0	2	Cooling	151	2023-08-18_RNA_melting_CaCl2_VS.csv																							
151	24	100 mM MgCl2	400.0	21.0	90.0	2	Heating	152	2023-08-18_RNA_melting_CaCl2_VS.csv																							
152	25	50 mM MgCl2	400.0	90.0	21.0	1	Cooling	153	2023-08-18_RNA_melting_CaCl2_VS.csv																							
153	26	50 mM MgCl2	400.0	21.0	90.0	1	Heating	154	2023-08-18_RNA_melting_CaCl2_VS.csv																							
154	27	50 mM MgCl2	400.0	90.0	21.0	2	Cooling	155	2023-08-18_RNA_melting_CaCl2_VS.csv																							
155	28	50 mM MgCl2	400.0	21.0	90.0	2	Heating	156	2023-08-18_RNA_melting_CaCl2_VS.csv																							
156	29	0 mM MgCl2	400.0	90.0	21.0	1	Cooling	157	2023-08-18_RNA_melting_CaCl2_VS.csv																							
157	30	0 mM MgCl2	400.0	21.0	90.0	1	Heating	158	2023-08-18_RNA_melting_CaCl2_VS.csv																							
158	31	0 mM MgCl2	400.0	90.0	21.0	2	Cooling	159	2023-08-18_RNA_melting_CaCl2_VS.csv																							
159	32	0 mM MgCl2	400.0	21.0	90.0	2	Heating	160	2023-08-18_RNA_melting_CaCl2_VS.csv																							
160	1	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	161	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
161	2	10 mM MgCl2	260.0	21.0	90.0	1	Heating	162	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
162	3	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	163	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
163	4	10 mM MgCl2	260.0	21.0	90.0	2	Heating	164	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
164	5	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	165	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
165	6	5 mM MgCl2	260.0	21.0	90.0	1	Heating	166	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
166	7	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	167	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
167	8	5 mM MgCl2	260.0	21.0	90.0	2	Heating	168	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
168	9	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	169	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
169	10	1 mM MgCl2	260.0	21.0	90.0	1	Heating	170	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
170	11	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	171	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
171	12	1 mM MgCl2	260.0	21.0	90.0	2	Heating	172	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
172	13	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	173	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
173	14	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	174	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
174	15	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	175	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
175	16	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	176	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
176	17	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	177	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
177	18	10 mM MgCl2	400.0	21.0	90.0	1	Heating	178	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
178	19	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	179	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
179	20	10 mM MgCl2	400.0	21.0	90.0	2	Heating	180	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
180	21	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	181	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
