Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
8,1.66 mM NaCl,260.0,21.0,90.0,2,Heating,456,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),1.66,mM
9,0.8 mM NaCl,260.0,90.0,21.0,1,Cooling,457,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.8,mM
10,0.8 mM NaCl,260.0,21.0,90.0,1,Heating,458,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.8,mM
11,0.8 mM NaCl,260.0,90.0,21.0,2,Cooling,459,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.8,mM
12,0.8 mM NaCl,260.0,21.0,90.0,2,Heating,460,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.8,mM
13,0.08 mM NaCl,260.0,90.0,21.0,1,Cooling,461,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.08,mM
14,0.08 mM NaCl,260.0,21.0,90.0,1,Heating,462,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.08,mM
15,0.08 mM NaCl,260.0,90.0,21.0,2,Cooling,463,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.08,mM
16,0.08 mM NaCl,260.0,21.0,90.0,2,Heating,464,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),0.08,mM
1,10 mM EDTA,260.0,90.0,21.0,1,Cooling,481,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
2,10 mM EDTA,260.0,21.0,90.0,1,Heating,482,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
3,10 mM EDTA,260.0,90.0,21.0,2,Cooling,483,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
4,10 mM EDTA,260.0,21.0,90.0,2,Heating,484,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),10.0,mM
5,5 mM EDTA,260.0,90.0,21.0,1,Cooling,485,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
6,5 mM EDTA,260.0,21.0,90.0,1,Heating,486,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
7,5 mM EDTA,260.0,90.0,21.0,2,Cooling,487,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
8,5 mM EDTA,260.0,21.0,90.0,2,Heating,488,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),5.0,mM
