	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	Sample	bg in mM	[Buffer] in mM	Divalent Ion	Monovalent Ion	gi	file_name	Concentration	Concentration Unit	Ion	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
53	22	10 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	54	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
54	23	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	55	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
55	24	10 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	56	2023-08-04_RNA_melting_VS.csv	10.0	mM	MgCl2																	
56	25	25 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	57	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
57	26	25 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	58	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
58	27	25 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	59	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
59	28	25 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	60	2023-08-04_RNA_melting_VS.csv	25.0	mM	CaCl2																	
60	29	25 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	61	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
61	30	25 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	62	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
62	31	25 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	63	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
63	32	25 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	64	2023-08-04_RNA_melting_VS.csv	25.0	mM	MgCl2																	
64	1	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	65	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
65	2	10 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	66	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
66	3	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	67	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
67	4	10 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	68	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
68	5	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	69	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
69	6	5 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	70	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
70	7	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	71	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
71	8	5 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	72	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
72	9	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	73	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
73	10	1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	74	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
74	11	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	75	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
75	12	1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	76	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
76	13	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	77	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
77	14	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	78	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
78	15	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	79	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
79	16	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	80	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
80	17	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	81	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
81	18	10 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	82	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
82	19	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	83	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
83	20	10 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	84	2023-08-16_RNA_melting_CaCl2_VS.csv	10.0	mM	MgCl2																	
84	21	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	85	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
85	22	5 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	86	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
86	23	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	87	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
87	24	5 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	88	2023-08-16_RNA_melting_CaCl2_VS.csv	5.0	mM	MgCl2																	
88	25	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	89	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
89	26	1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	90	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
90	27	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	91	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
91	28	1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	92	2023-08-16_RNA_melting_CaCl2_VS.csv	1.0	mM	MgCl2																	
92	29	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	93	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
93	30	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Ca(II)	K(I)	94	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
94	31	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Ca(II)	K(I)	95	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
95	32	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Ca(II)	K(I)	96	2023-08-16_RNA_melting_CaCl2_VS.csv	0.1	mM	MgCl2																	
96	1	500 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	97	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
97	2	500 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	98	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
98	3	500 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	99	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
99	4	500 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	100	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
100	5	100 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	101	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
101	6	100 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	102	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
102	7	100 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	103	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
103	8	100 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	104	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
104	9	50 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	105	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
105	10	50 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	106	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
106	11	50 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	107	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
107	12	50 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	108	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
108	13	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	109	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
109	14	10 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	110	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
110	15	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	111	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
111	16	10 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	112	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
