CSV Report,2023-09-24_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
,63,0.664200914029797,48,0.543434840611393,63,0.689578743192894,48,0.562948219149371,63,0.47499980242439,48,0.406161829862841,63,0.494526406189053,48,0.421677597877284,63,0.3695438606602,48,0.341328188620914,63,0.382664532443305,48,0.352911247730206,63,0.478836588930185,48,0.421042600802428,63,0.495862337533643,48,0.435359947276929,63,0.0199531524125974,48,0.0196066669322082,63,0.0200297686363195,48,0.019715329042101,63,0.0018703683304294,48,0.00195442129351824,63,0.00219759355675084,48,0.00216767475938227,63,-0.000162021148922233,48,-0.000354997571190911,63,4.37391848899698E-05,48,-0.000175398097657278,63,0.0193878956062108,48,0.0193169161920292,63,0.0195914578872376,48,0.0194341576974181
,62,0.656701473715595,49,0.549521989986091,62,0.681842365451968,49,0.569473634192067,62,0.471222888540824,49,0.409838867372082,62,0.490459391199934,49,0.425668066529149,62,0.368214015839896,49,0.343251210511038,62,0.381166972345479,49,0.355015787873155,62,0.47561881511835,49,0.42441586121736,62,0.492589452377454,49,0.439031033695654,62,0.0199090396925506,49,0.019624237521061,62,0.020005014150646,49,0.0197560972734521,62,0.00186916223867379,49,0.00195306252599874,62,0.00218569562005183,49,0.00215357526657875,62,-0.000199550836146331,49,-0.000338710085715601,62,1.89449794754466E-05,49,-0.000195474756084695,62,0.0193673552556624,49,0.0193539427312862,62,0.0195450595692399,49,0.0194420544960688
,61,0.64963898820475,50,0.556018456691307,61,0.674172212141661,50,0.576005210804836,61,0.467474831866249,50,0.413874410735425,61,0.486469911056315,50,0.429750435312927,61,0.366970104357231,50,0.345345473618955,61,0.379660901209475,50,0.357045223573854,61,0.472608990776316,50,0.428027990351054,61,0.48928347338551,50,0.442693432297408,61,0.0198623333415811,50,0.0196417106610913,61,0.0200054853603125,50,0.019775998674377,61,0.00185405806489738,50,0.00194709053132287,61,0.00217845057202207,50,0.00215204550252079,61,-0.00018527382221091,50,-0.000328543471187341,61,-2.57383366900018E-06,50,-0.00017108812917566,61,0.0193567534890097,50,0.0193723670672803,61,0.0195384192854044,50,0.0194507673337711
,60,0.642594025882338,51,0.562207689436186,60,0.666633882493292,51,0.582656123244077,60,0.463631754575628,51,0.417870787376951,60,0.482403507938951,51,0.433858645128229,60,0.365570920536482,51,0.347310234176627,60,0.378297549362902,51,0.359170868584123,60,0.469479208158368,51,0.431654496003739,60,0.4858953307401,51,0.446383727051481,60,0.019864734332988,51,0.0196299254056383,60,0.0199903425408848,51,0.0197628846326673,60,0.00186472463125763,51,0.00194306117180116,60,0.00219159784018174,51,0.00214689259275555,60,-0.000187926182953564,51,-0.000354133776238781,60,3.44309555593349E-05,51,-0.000131412670175275,60,0.0193531638556801,51,0.0193597443725535,60,0.0195396429588874,51,0.0194585439415724
,59,0.635258141622243,52,0.568840686319927,59,0.658899204474844,52,0.589236781058346,59,0.459811363991931,52,0.421970021184199,59,0.478291319813577,52,0.438237258826048,59,0.364068727811325,52,0.349298562348207,59,0.376963379128636,52,0.361361860539631,59,0.466437850031701,52,0.435230911948005,59,0.482439860224455,52,0.450105936395734,59,0.0197929635777511,52,0.0196493093725116,59,0.0199953095156382,52,0.0197884223055732,59,0.00188123342758579,52,0.00192241899089819,59,0.00219042432750554,52,0.00217660399485559,59,-0.00028803778178351,52,-0.00033051005809563,59,4.1230085771934E-05,52,-0.000103420500051631,59,0.0193391423402415,52,0.019373312380587,59,0.0195278669232923,52,0.019476881064165
,58,0.62800630623292,53,0.575812005067452,58,0.650965846579383,53,0.596295031992201,58,0.455868162073591,53,0.426249261285888,58,0.474042895687681,53,0.44248144522118,58,0.362713944558664,53,0.351326953302426,58,0.375391810506087,53,0.36324294367203,58,0.463300043248811,53,0.438988786749883,58,0.478962885583431,53,0.45384644485399,58,0.0198240899134845,53,0.0196430184751013,58,0.0199675509597913,53,0.019785694356987,58,0.00187961824901311,53,0.00192548256733055,58,0.00220062153207926,53,0.00217597066757379,58,-0.000242735028688377,53,-0.000308167683856948,58,1.91763824743053E-05,53,-0.00013963237902729,58,0.0193719431528294,53,0.0193699060843342,58,0.0195331552210155,53,0.0194529294350242
,57,0.620535348578163,54,0.582709974854126,57,0.643394532374179,54,0.603453697991555,57,0.451860950643267,54,0.43050140263479,57,0.469690162651806,54,0.446991323197596,57,0.361342813995456,54,0.353244721422134,57,0.37386802320715,54,0.365174029492796,57,0.460000179598234,54,0.442730138596837,57,0.475718652797266,54,0.457743310097007,57,0.0198565837068993,54,0.0196489750792748,57,0.0199523142790703,54,0.0197351790568161,57,0.00189284258973611,54,0.00192122667975865,57,0.00219627502296223,54,0.00214468316044541,57,-0.000171687203232765,54,-0.000299335051250569,57,2.68649191460035E-05,54,-0.000210548239401205,57,0.0194020929297563,54,0.0193479161915491,57,0.0195331267410749,54,0.0194591460316147
,56,0.613182302710866,55,0.589639716211736,56,0.635805530368889,55,0.610600114156415,56,0.447709361625764,55,0.434815558007293,56,0.46536347685089,55,0.451424323906033,56,0.359900861358079,55,0.355091943082835,56,0.372284149676054,55,0.367163267993237,56,0.456641558728383,55,0.446349805153238,56,0.472216422203839,55,0.461487407307994,56,0.0198172654955373,55,0.0196501331322178,56,0.0199745978318683,55,0.0197653368148473,56,0.00190747366930067,55,0.00190704794650212,56,0.00219454492325156,55,0.00213813412694392,56,-0.00016114511405744,55,-0.000306619419177072,56,-3.31865299174217E-06,55,-0.000203752544276017,56,0.0193762861372129,55,0.0193307574812145,56,0.019540187234998,55,0.0194643860868286
,55,0.60582325401565,56,0.596914948510126,55,0.628377348147035,56,0.618149288497234,55,0.443539706597149,56,0.439148430906438,55,0.460996873559682,56,0.456002643478426,55,0.358249221021684,56,0.356901478793022,55,0.370633427840302,56,0.369115060739561,55,0.453196591732005,56,0.449947943525669,55,0.468639112727658,56,0.465441013378092,55,0.0198244406560128,56,0.0196394230245843,55,0.0199402952129593,56,0.0197651408761761,55,0.00186804608266754,56,0.00192722624561151,55,0.0021899559764934,56,0.00213033795442011,55,-0.000236511815174734,56,-0.000295029098187962,55,-3.15133899846951E-05,56,-0.000191008284773153,55,0.0193346263958669,56,0.0193503535339837,55,0.0194860976663479,56,0.0194497286743215
,54,0.598846937383422,57,0.60418314238453,54,0.620888646297811,57,0.625681479173862,54,0.439347105996858,57,0.443537932132582,54,0.456633099970976,57,0.460533329893873,54,0.356589481188685,57,0.358655373307187,54,0.368992808660495,57,0.370947677800231,54,0.449854433916844,57,0.453668577564867,54,0.465288129124351,57,0.469309733262485,54,0.0198099250190473,57,0.019642413461979,54,0.019909490893037,57,0.0197569283465292,54,0.00181979300012773,57,0.00195665904493908,54,0.00219107808895686,57,0.0021512797861106,54,-0.00028972744248343,57,-0.000261473089453784,54,-2.71464288847104E-05,57,-0.000185542073894658,54,0.0192991390693535,57,0.0193413476824191,54,0.0194676756163795,57,0.0194317316650179
,53,0.591525070467604,58,0.611688909230911,53,0.613652863443557,58,0.633553981079293,53,0.43505987013405,58,0.44802225371227,53,0.452320005656996,58,0.465000490006298,53,0.354966555333959,58,0.360364522898747,53,0.367232884339132,58,0.372706406533515,53,0.44628619464086,58,0.457350461495429,53,0.461704734839259,58,0.472969646535845,53,0.0198186822358989,58,0.01965376499728,53,0.0198989270459096,58,0.0197959514628757,53,0.0018095619488253,58,0.00195687934688507,53,0.00220167597897775,58,0.00214045587107298,53,-0.00028077900767141,58,-0.000278317374007009,53,-5.54234201318163E-05,58,-0.0001296856958825,53,0.0193112134673017,58,0.0193529253051428,53,0.0194762690830845,58,0.0194319765262199
,52,0.5844784487315,59,0.619089399778901,52,0.606266071908193,59,0.641234915266135,52,0.430857585375755,59,0.452434422519166,52,0.44798090266538,59,0.469516349556142,52,0.353224864396308,59,0.361946034233681,52,0.365580551436351,59,0.374321554702729,52,0.442729636744697,59,0.460875583553121,52,0.458019049300357,59,0.476694895954955,52,0.0197680100362365,59,0.0196579907384671,52,0.0199001240537399,59,0.0198095761203814,52,0.00183432015071666,59,0.00195405380925645,52,0.00218863816388397,59,0.00213009056270848,52,-0.00026372076411252,59,-0.000270021842497184,52,-2.23223322244877E-05,59,-0.000138157149071844,52,0.0193289223198852,59,0.0193426900479712,52,0.0194784445855845,59,0.0194555558699181
,51,0.577833079027843,60,0.626901521368157,51,0.59892575631534,60,0.64940618106466,51,0.426667889218958,60,0.457063786136116,51,0.443351358694095,60,0.474271826764272,51,0.351371032814911,60,0.363481524903166,51,0.363535100555201,60,0.376178633804949,51,0.439341475940961,60,0.464494617864971,51,0.454121361440064,60,0.48051596507528,51,0.019801786045519,60,0.0196880124597786,51,0.0198748714771219,60,0.0198344842193484,51,0.00185588976413501,60,0.001964359740034,51,0.00217618121813014,60,0.00211742295112761,51,-0.000272652480185018,60,-0.000258894743913956,51,-5.88482725639999E-05,60,-0.000120432013179655,51,0.0193471359221426,60,0.0193621529283451,51,0.019472986352743,60,0.0194350504577317
,50,0.571111260915537,61,0.634511601130514,50,0.591951128078111,61,0.657312337699191,50,0.422662537126869,61,0.461403569433797,50,0.439191238842655,61,0.478913231301298,50,0.34960387702101,61,0.364890873279826,50,0.36173190982539,61,0.377802051528416,50,0.43573778100946,61,0.46797254472089,50,0.45054650725282,61,0.484253475027897,50,0.0197890488648669,61,0.0196827405272757,50,0.0198887789824643,61,0.0197828698778326,50,0.00185421264109142,61,0.00194595436037335,50,0.00218476485224867,61,0.00213787206788645,50,-0.0002656237257732,61,-0.000319666924375799,50,-3.00889743634079E-05,61,-0.000124584683153941,50,0.019338465175873,61,0.0193541275829495,50,0.0194726441937946,61,0.0194326571160233
,49,0.564646816351426,62,0.642047426011165,49,0.58549690776979,62,0.665192608583149,49,0.418637732613884,62,0.46542722672672,49,0.435038104885076,62,0.483156878470234,49,0.347758088948814,62,0.366410235658205,49,0.359813410142396,62,0.379265921141291,49,0.432191615312171,62,0.471407112274124,49,0.446859562257489,62,0.487946466044051,49,0.0197783522007362,62,0.0196996662867752,49,0.0198962049183773,62,0.0198079403927363,49,0.00186216459109099,62,0.00193793063353642,49,0.00219200142493026,62,0.00212999422684996,49,-0.000261797842846528,62,-0.000292547546451175,49,-8.77248973766591E-06,62,-0.000141409366869963,49,0.0193275645061128,62,0.0193241497435537,49,0.0194855607424816,62,0.0194503173083147
,48,0.558145815742426,63,0.649651353976444,48,0.57893463907488,63,0.672824339582252,48,0.414757664342599,63,0.469470167461189,48,0.431007895520639,63,0.487316259552254,48,0.345855935489168,63,0.367929001525863,48,0.357845663203761,63,0.380823450436299,48,0.428715766463898,63,0.474753170936086,48,0.443236072019274,63,0.491336943909242,48,0.0197544953361519,63,0.0197335270911432,48,0.0198903176061626,63,0.019802780706605,48,0.00188636175987461,63,0.00192195288362845,48,0.00217401339890582,63,0.00211301525227126,48,-0.000257920643266121,63,-0.000245350644824418,48,-1.26696095082863E-05,63,-9.82830508570692E-05,48,0.0193316578714915,63,0.019328483648982,48,0.0194695928753512,63,0.0194502422556491
,47,0.551808807499518,64,0.657033700477413,47,0.572230213126852,64,0.680625338019326,47,0.410977446661965,64,0.473552631590633,47,0.42699822993202,64,0.491478861500188,47,0.343903034965666,64,0.369359821213545,47,0.355746332134963,64,0.382292942544538,47,0.425212505627086,64,0.478076589621062,47,0.439521093462982,64,0.494850117737164,47,0.0197456222082864,64,0.0196768391761621,47,0.0198426420494084,64,0.0197759099568424,47,0.00190053267165265,64,0.00190391456636715,47,0.00216489934757685,64,0.00212977932836867,47,-0.00025631464396744,64,-0.000238774803645133,47,-7.46845314792894E-05,64,-9.62717501234059E-05,47,0.0193167480876664,64,0.0193378008981925,47,0.0194523867820112,64,0.0194364817661353
,46,0.545829553969186,65,0.664805853651602,46,0.565993736866897,65,0.688443889191039,46,0.407147086989198,65,0.477491608389635,46,0.42300499370194,65,0.495804039690207,46,0.34191420768395,65,0.37078695876264,46,0.35378142342243,65,0.383778533207687,46,0.421777855789664,65,0.481399960746095,46,0.435986102098117,65,0.498515523114455,46,0.0197658277950936,65,0.0197076050179547,46,0.0198459641981018,65,0.0198015841482663,46,0.00190010269009428,65,0.00190960201853094,46,0.00219152131656075,65,0.00212360738990644,46,-0.000288998234076086,65,-0.000215021713803902,46,-4.32177598364719E-05,65,-9.60231756097771E-05,46,0.0193178944180073,65,0.0193317362325343,46,0.0194388368527226,65,0.0194638000927522
,45,0.539731189023176,66,0.672346137374543,45,0.559693481160921,66,0.696355899641224,45,0.403386339004449,66,0.481624504743915,45,0.41914982807731,66,0.500108420683738,45,0.339893564438856,66,0.372275194561767,45,0.351800028948727,66,0.385208114778157,45,0.418406288660187,66,0.484807798987336,45,0.432451519725204,66,0.501981575933152,45,0.0197750842484099,66,0.0197326754492776,45,0.0198631632039813,66,0.0198318597944365,45,0.00190108342770549,66,0.00191657385225305,45,0.0022068430518804,66,0.00213968096599707,45,-0.000321507699705217,66,-0.000183495194266962,45,-3.00564722132367E-05,66,-8.49320104239073E-05,45,0.0193137499633114,66,0.0193310461873318,45,0.0194558422035818,66,0.0194577944198207
,44,0.533825729166067,67,0.679719084654079,44,0.553337755065265,67,0.704388554802469,44,0.399857544237207,67,0.485801453143238,44,0.415336382595452,67,0.504508535651382,44,0.338002089717006,67,0.373684512845164,44,0.349809481946434,67,0.386667161478639,44,0.415155343757672,67,0.488140170341658,44,0.428863758566669,67,0.505480934144754,44,0.0197618343923958,67,0.019714553628448,44,0.019887147777201,67,0.0198173023953327,44,0.00193169884211461,67,0.00192979702490997,44,0.00219623183843754,67,0.00216781153372743,44,-0.000327249416332913,67,-0.000209004442467354,44,-2.69630977253419E-05,67,-4.63251755946459E-05,44,0.0193332817326248,67,0.0193339467919729,44,0.0194596625813567,67,0.0194576005190384
,43,0.52794746186825,68,0.687672687530236,43,0.547208485679442,68,0.711868504678948,43,0.396413674534297,68,0.490051382684851,43,0.4116852900327,68,0.508712461466543,43,0.336148242532255,68,0.375148555976717,43,0.347850346480784,68,0.388027079720887,43,0.411953892204146,68,0.491533413644114,43,0.425542674870158,68,0.508945112518763,43,0.0197535440814149,68,0.019744157855475,43,0.0198836450530984,68,0.0198384807324909,43,0.00195804186378685,68,0.00194424222115218,43,0.00219881023216853,68,0.00215537998059867,43,-0.000341781604491198,68,-0.000220384183358547,43,-3.10121790049612E-05,68,-3.95483303837356E-05,43,0.0193285338915572,68,0.0193519074462937,43,0.0194436975772102,68,0.0194853769719405
,42,0.522199421161108,69,0.695224746735227,42,0.541271233980777,69,0.720061934574923,42,0.392900633772204,69,0.494143601523892,42,0.408108463671311,69,0.513187741533345,42,0.334323658581306,69,0.376535455068529,42,0.345948942226704,69,0.389556766525551,42,0.408752371675651,69,0.494746947906892,42,0.422175334507808,69,0.512597889689881,42,0.0197654509495118,69,0.0197523954541749,42,0.0198729046229841,69,0.0198622789729463,42,0.0019635984699197,69,0.00195183616681902,42,0.00221985963380968,69,0.00214629814379719,42,-0.000328981131152087,69,-0.000203924768487106,42,-4.33967547114646E-05,69,-5.21197959429995E-05,42,0.0193284959352845,69,0.0193689977371575,42,0.0194502608616828,69,0.0195010991830834
,41,0.516474463740778,70,0.70254608912632,41,0.535458041385745,70,0.728886248693383,41,0.389447853987607,70,0.498265366940767,41,0.404630059812698,70,0.517814858627148,41,0.332562318710849,70,0.377825077370396,41,0.344060281372273,70,0.391125631423067,41,0.405617148892434,70,0.498141018829554,41,0.418979814388586,70,0.516299649735126,41,0.0197582316844271,70,0.0197394081724579,41,0.0198584382042318,70,0.019880232936068,41,0.00199022164283112,70,0.0019581210981378,41,0.00221881555017496,70,0.00212322626059248,41,-0.000289628889164634,70,-0.00022250621839847,41,-8.27070340895191E-05,70,-2.73730237387328E-05,41,0.0193520420601512,70,0.0193636357103541,41,0.0194627721059269,70,0.0195040141205226
,40,0.51056385729287,71,0.710400334863949,40,0.529351292412696,71,0.737620571497857,40,0.386073543723798,71,0.502607765543175,40,0.401148383469539,71,0.522166291492732,40,0.330803772437114,71,0.379166873920926,40,0.342158605904728,71,0.39255032673539,40,0.402485090495769,71,0.501519409400374,40,0.41584958584579,71,0.519895680772682,40,0.0197772026910083,71,0.0197378100827727,40,0.019853069205222,71,0.0198735442128218,40,0.00197909007035392,71,0.00195713797202862,40,0.00221173440034766,71,0.00212949377508689,40,-0.00027435624469264,71,-0.000240013449684828,40,-0.000111145725945897,71,-1.8514534699535E-05,40,0.0193445390863157,71,0.0193594180922729,40,0.0194640620411262,71,0.0194747835556513
,39,0.504985974207555,72,0.717964240501424,39,0.523542378426965,72,0.744993369179595,39,0.382706838104256,72,0.50681565906801,39,0.397603281663217,72,0.526400063271348,39,0.329015636174475,72,0.380530654045204,39,0.340296444855555,72,0.393820164764313,39,0.399423415019771,72,0.50499501218305,39,0.412552014500462,72,0.523159176436442,39,0.0197577603584668,72,0.019746717493281,39,0.0198735979987432,72,0.0198378705666745,39,0.00197078926055192,72,0.00194117211825047,39,0.00224075020017696,72,0.00209726156162384,39,-0.000278723700864307,72,-0.000235140244603887,39,-0.000102040739663881,72,-5.88574511323249E-05,39,0.0193609312589225,72,0.0193818226569963,39,0.0194948040878709,72,0.0194422946575991
,38,0.499265360339516,73,0.725788993701658,38,0.517706234905579,73,0.752710201850614,38,0.379521360109262,73,0.511041343154005,38,0.394174328700915,73,0.530681212545994,38,0.327354783880385,73,0.381947960088675,38,0.33857680753688,73,0.395103203385913,38,0.396514361686119,73,0.508327536604917,38,0.409514305252564,73,0.526697205641533,38,0.0197793302430208,73,0.0197862464240737,38,0.0198571781584807,73,0.0198397706842318,38,0.00199635538799314,73,0.00193902280047942,38,0.00225080953539667,73,0.00208953332598338,38,-0.000230107526997991,73,-0.000188247852979309,38,-6.61211327072472E-05,73,-7.85532010765558E-05,38,0.0193901823290194,73,0.0193978249431474,38,0.0194702500493275,73,0.019456050998617
,37,0.493839931339048,74,0.733622173856407,37,0.511918850554457,74,0.761278501046175,37,0.376193250649787,74,0.515475295482768,37,0.390857975165878,74,0.534991701717541,37,0.325608564566705,74,0.383448956418366,37,0.3368312581905,74,0.396453289181962,37,0.393675761289777,74,0.511973910399976,37,0.406476313696128,74,0.530325453914703,37,0.0197769661159554,74,0.0197655955800608,37,0.0198434063674129,74,0.0198764385922047,37,0.00199228915685515,74,0.00195182232269918,37,0.00223643299544272,74,0.0021389773001321,37,-0.000239772909772579,74,-0.000183578122074254,37,-8.84444803687454E-05,74,-6.84837664264464E-05,37,0.0193824630882625,74,0.0193789506157243,37,0.0194353184872653,74,0.019487685438872
,36,0.488374929491338,75,0.742058410598665,36,0.506314524071501,75,0.769478487058262,36,0.373082289824613,75,0.520041458365394,36,0.387497987257621,75,0.539529705606227,36,0.323929012805571,75,0.385021958339078,36,0.335125208213177,75,0.397980482407004,36,0.390759298330151,75,0.515799327532799,36,0.403537624914151,75,0.534021890403805,36,0.0197764063552632,75,0.01978639803532,36,0.0198617598954112,75,0.019888122662054,36,0.00201627174166014,75,0.00194139509262699,36,0.00222885900989207,75,0.00213344723290356,36,-0.00028676221219003,75,-0.000151496315606253,36,-0.000110078182714994,75,-3.43564574109498E-05,36,0.0193666717324818,75,0.0193955983896889,36,0.0194401728674491,75,0.0194846600918536
,35,0.483027677945356,76,0.750674744253914,35,0.500802243287308,76,0.778479119563344,35,0.369683478296015,76,0.524505666630467,35,0.384149581297564,76,0.544502950507507,35,0.322250227035111,76,0.386590530907973,35,0.333435921798292,76,0.399592005980691,35,0.387905415911095,76,0.51959593648367,35,0.400611887978025,76,0.538013416527058,35,0.0197502142984143,76,0.0197898997405956,35,0.0198158902776739,76,0.0199035903766886,35,0.00203284154086926,76,0.00193956056073858,35,0.00222888561845186,76,0.00211742051922811,35,-0.000252959778190364,76,-0.000105674889687895,35,-0.000138614087318392,76,6.4145047645139E-06,35,0.0193622014185981,76,0.0193811546035109,35,0.0194416663429031,76,0.0195024673707068
,34,0.477619385960498,77,0.759194725905835,34,0.495306771165995,77,0.786875029821135,34,0.366499877455028,77,0.528931388343381,34,0.380815961205092,77,0.548964228973367,34,0.320657001912019,77,0.38830810340456,34,0.331818141669604,77,0.401052815877679,34,0.385161120614648,77,0.523213059935737,34,0.397729793841111,77,0.541969943120602,34,0.019718494538931,77,0.0197538360744518,34,0.0198289804200689,77,0.0199381462685659,34,0.00201285383961531,77,0.00193585765953533,34,0.00222067233000228,77,0.00213055618573071,34,-0.000289180529427485,77,-0.000141427097383682,34,-7.63354674381891E-05,77,1.46054699811496E-05,34,0.0193632087405074,77,0.0193611900871656,34,0.0194395760237358,77,0.0195183081895837
,33,0.472363531110842,78,0.767984627115209,33,0.489860254077086,78,0.795524912889136,33,0.363339928566733,78,0.53348693793571,33,0.377480110524809,78,0.553623565663565,33,0.319078186464725,78,0.389938079631102,33,0.330202217698074,78,0.402602083976399,33,0.382362549736407,78,0.52691251213154,33,0.394823944032827,78,0.545860228587155,33,0.0197145515165833,78,0.0198020478830775,33,0.0198343816442343,78,0.0199270850650825,33,0.00203645351011125,78,0.00193951269793084,33,0.00227280135132123,78,0.00213162842055662,33,-0.00027971306983007,78,-0.000168890515144548,33,-6.82168245274489E-05,78,3.714405403834E-05,33,0.0193914093685848,78,0.0193983625253215,33,0.0194402805694088,78,0.0195115276348769
,32,0.467286108344226,79,0.776900943705534,32,0.484575399921535,79,0.804177086632643,32,0.360231839608942,79,0.5382005591962,32,0.374168573709098,79,0.558197039841508,32,0.317547027731378,79,0.391489296060028,32,0.328578186278969,79,0.404088326892745,32,0.379608087312154,79,0.530734950897954,32,0.391995007037776,79,0.549872903982543,32,0.0197281694162693,79,0.0198350777447509,32,0.019819287050755,79,0.0198852543403734,32,0.00204740637294034,79,0.00194366579050488,32,0.00227286253498611,79,0.00214541468418909,32,-0.000235796441328241,79,-0.000154741717525325,32,-5.16441758253279E-05,79,2.6183224504625E-05,32,0.0194027724533574,79,0.0194007956552916,32,0.0194489805320745,79,0.0195085070999873
,31,0.462329484635263,80,0.786040619481182,31,0.479104345807995,80,0.812896901034589,31,0.357048326604817,80,0.543073874964994,31,0.37085868969975,80,0.562920845113811,31,0.315961901656875,80,0.393226146635573,31,0.326893581443653,80,0.405651351183865,31,0.376854717411718,80,0.534958301363472,31,0.389046391728882,80,0.55383479082582,31,0.019755666199246,80,0.0198454643344716,31,0.0198257943150326,80,0.0198805315985378,31,0.00205930131703244,80,0.00195764988411225,31,0.00229114965733163,80,0.00212453533386773,31,-0.000215151877130875,80,-0.000104824306183492,31,-4.86390475630128E-05,80,-2.01015038073983E-06,31,0.0193930730364681,80,0.0193981608557864,31,0.0194382293952351,80,0.0195054060912421
,30,0.457215263682378,81,0.794646430358732,30,0.473983486218099,81,0.821609077745874,30,0.353915156914722,81,0.547737958991362,30,0.367607317241608,81,0.567672315798392,30,0.314395496402032,81,0.39473435351479,30,0.325137806215191,81,0.407306849587811,30,0.374120782968651,81,0.53896974142875,30,0.38623395424444,81,0.557808869797863,30,0.0197429813854537,81,0.0198486373591794,30,0.0197876755846622,81,0.0198946272508925,30,0.00206161289621853,81,0.00193228917574433,30,0.00225255159147721,81,0.0021054362321957,30,-0.000223037146175977,81,-5.96504671162225E-05,30,-0.000139046357792521,81,3.66908003846136E-05,30,0.0193730702325026,81,0.0194069692730816,30,0.0194281988542504,81,0.019527356410025
,29,0.452588580718637,82,0.803380625919057,29,0.46902735156872,82,0.830693270092527,29,0.350854731205718,82,0.552472624342592,29,0.364443674870387,82,0.572741059513024,29,0.312781733760735,82,0.396285476023159,29,0.323519449469442,82,0.409033507421301,29,0.371388227048109,82,0.542770660843366,29,0.38331767841745,82,0.561958051819451,29,0.0197488130707241,82,0.0198418155079972,29,0.0198451958482545,82,0.0199555627024625,29,0.00204039212976842,82,0.00190919987540808,29,0.00228880820136896,82,0.00212138482088174,29,-0.000267293222288234,82,-0.000116197151703112,29,-8.01865846087223E-05,82,7.32203782431696E-05,29,0.0193754339105552,82,0.0194080266388722,29,0.0194642620706627,82,0.0195565581168836
,28,0.447727622914187,83,0.811990602578909,28,0.464634189023768,83,0.839998103915308,28,0.347847960270444,83,0.557004819092339,28,0.361778746859475,83,0.577799174560078,28,0.311146871057019,83,0.397841245868422,28,0.322194549751178,83,0.41050859948941,28,0.368794260709284,83,0.546572199980056,28,0.38101533091595,83,0.566150006412347,28,0.0197644000916737,83,0.0198600254150062,28,0.0198434742199166,83,0.0199899290224707,28,0.00205400276747619,83,0.00191693194058047,28,0.00229899626330618,83,0.00212840488151718,28,-0.000288655557142137,83,-0.000129669441462581,28,-6.23967375238016E-05,83,5.43149802007444E-05,28,0.0193748804823383,83,0.0194088877275611,28,0.0194555191557819,83,0.0195376560019373
,27,0.443574592637392,84,0.821228894024844,27,0.460378993377886,84,0.848927186493005,27,0.345320246598057,84,0.56202317389974,27,0.358863457099073,84,0.58266380579192,27,0.309763379675327,84,0.399637469737662,27,0.320625457337709,84,0.412058484788583,27,0.366346254013506,84,0.550600010581377,27,0.378288097826267,84,0.570357480572712,27,0.0197133694389327,84,0.0198833025233877,27,0.0198548948970989,84,0.0199536082644285,27,0.00207546783331666,84,0.00194905025628881,27,0.00229435513950675,84,0.00211121821889776,27,-0.000302239883597949,84,-5.77189076058028E-05,27,-7.4284156590069E-05,84,7.62205262245469E-05,27,0.0193625908583355,84,0.0194130153759036,27,0.019469719159302,84,0.0195515443271203
