CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,68,0.248010141092999,32,0.203354336050226,68,0.255850297764346,32,0.206613984857635,68,0.253252668413535,32,0.203753808854013,68,0.229829137718507,32,0.180477853276341,68,0.234902948465903,32,0.184859732451845,68,0.240280231470742,32,0.189497453715332,68,0.240782709465172,32,0.192688030455802,68,0.246984316934291,32,0.197385135777499,68,0.253516944980828,32,0.202520829793157,68,0.261367555011451,32,0.211946748800081,68,0.267392223759502,32,0.216484720054636,68,0.273334916200315,32,0.221067619423914,68,0.0237498823993359,32,0.0235511332277371,68,0.023563537346885,32,0.0234123635013767,68,0.0234688545291614,32,0.0234769281883104,68,0.0037180675722859,32,0.00355452962911629,68,0.00367855213414231,32,0.00354515502230803,68,0.00365009596056334,32,0.00392462971309911,68,0.00471533803414593,32,0.00491075024145735,68,0.0046158039302695,32,0.00477961050575111,68,0.00455063348935466,32,0.00468454503529302,68,0.0242173985519171,32,0.0241314345435401,68,0.0240950968587944,32,0.0240160253722526,68,0.0240313198376777,32,0.0239588879868123
,67.5,0.248035863287145,32.5,0.203805586379396,67.5,0.255794597056253,32.5,0.206947875897249,67.5,0.253167097683766,32.5,0.204040853035699,67.5,0.229879428674584,32.5,0.18067980565007,67.5,0.234853087798698,32.5,0.185046722198094,67.5,0.240238603134667,32.5,0.189639896579698,67.5,0.240868239704158,32.5,0.192731032836958,67.5,0.247161470954129,32.5,0.197497576273182,67.5,0.253528438714798,32.5,0.20262321638522,67.5,0.261298611741708,32.5,0.212083882359971,67.5,0.267261649239206,32.5,0.216602998141086,67.5,0.273203595233977,32.5,0.221213047526272,67.5,0.0237597909707341,32.5,0.0235567202904161,67.5,0.0235716097351739,32.5,0.0234138342810867,67.5,0.0234851838276383,32.5,0.0234815623865923,67.5,0.00371830054049745,32.5,0.00356100857378293,67.5,0.00368552341525454,32.5,0.0035461214624493,67.5,0.0036470852939482,32.5,0.00392654836349183,67.5,0.0047168159695798,32.5,0.00490743455374769,67.5,0.00463376130286879,32.5,0.00478302458495773,67.5,0.00454597322160746,32.5,0.00469294738627043,67.5,0.0242240302324084,32.5,0.024129286087281,67.5,0.024103036419289,32.5,0.024022364339532,67.5,0.0240336720355699,32.5,0.0239552054046679
,67,0.24806940819676,33,0.204261673737847,67,0.255759088482805,33,0.207316640563931,67,0.253125496906736,33,0.204338765334689,67,0.229912940678201,33,0.18083595798381,67,0.234836198833021,33,0.185239039447816,67,0.240220293613675,33,0.18982883470429,67,0.240855687928263,33,0.192713865663975,67,0.247061543216163,33,0.197545214749802,67,0.253526839645778,33,0.202682087835689,67,0.26119862131008,33,0.212233089664533,67,0.267114580422084,33,0.216692485829489,67,0.273030647233053,33,0.221301434826124,67,0.0237564283538995,33,0.0235520078718356,67,0.0235648454378434,33,0.0234117091933433,67,0.0234728676924717,33,0.0234744134052729,67,0.00372537702500154,33,0.00354714519881833,67,0.00368243205182619,33,0.00355812127187527,67,0.00366103626185709,33,0.003927167312683,67,0.00472793178015419,33,0.00488608546132802,67,0.00461221029837609,33,0.00477703697371236,67,0.00452688653727476,33,0.004686950530788,67,0.0242293140549146,33,0.0241171830638845,67,0.0240966107876488,33,0.0240308304571237,67,0.0240234578202179,33,0.0239534627373625
,66.5,0.248059168836007,33.5,0.204768981677201,66.5,0.255740640696547,33.5,0.20772038882732,66.5,0.253048688486635,33.5,0.204687073382316,66.5,0.2299221053765,33.5,0.181033805517973,66.5,0.234776136652467,33.5,0.185462360454439,66.5,0.240188076746671,33.5,0.190060141143945,66.5,0.240848058728266,33.5,0.192774740051304,66.5,0.24702130731841,33.5,0.197607418988117,66.5,0.253551811020528,33.5,0.202731901807766,66.5,0.26105758388966,33.5,0.212246683699725,66.5,0.266944360467126,33.5,0.216744336318427,66.5,0.272834413951206,33.5,0.221328615662383,66.5,0.0237533704289589,33.5,0.0235670043810136,66.5,0.0235771928990899,33.5,0.0234113226132929,66.5,0.023479260913774,33.5,0.0234990171156916,66.5,0.00372738849879968,33.5,0.00355771270726472,66.5,0.00367831058217415,33.5,0.00356228474048832,66.5,0.0036609406161544,33.5,0.00392784088346365,66.5,0.00471747039348496,33.5,0.0049138647337085,66.5,0.00462562334403494,33.5,0.00478839198597834,66.5,0.00454301134317775,33.5,0.00468351027346337,66.5,0.0242282005745197,33.5,0.0241273502309493,66.5,0.0240979757553812,33.5,0.0240266466465002,66.5,0.0240239699355442,33.5,0.023958312354391
,66,0.248080233843174,34,0.205352012652145,66,0.25577430924864,34,0.208161006953551,66,0.252976273428571,34,0.2050724591744,66,0.229975436819333,34,0.181323536054616,66,0.234757578636562,34,0.185718669949641,66,0.24017096489853,34,0.190331726170189,66,0.24095218237763,34,0.19292082108643,66,0.24696728642993,34,0.197692287412245,66,0.253530652998031,34,0.202839381372142,66,0.260877261858824,34,0.212293420409582,66,0.266736355925052,34,0.216811667106836,66,0.272581745705314,34,0.2214154228971,66,0.0237434267766433,34,0.0235601750465681,66,0.0235642290743119,34,0.0234057387100576,66,0.0234762788672056,34,0.0235086427011994,66,0.00372891343259317,34,0.00356092420538669,66,0.0036974777771972,34,0.0035601943802597,66,0.00365799888612726,34,0.00393674608721361,66,0.00474388670879781,34,0.00490574549316629,66,0.00462847672421639,34,0.00477313156959032,66,0.00453631826895759,34,0.00469287810490292,66,0.0242275920152404,34,0.0241394061444814,66,0.0240990594263811,34,0.0240112796649211,66,0.0240290388247269,34,0.0239585086430231
,65.5,0.248049453332685,34.5,0.206066288358529,65.5,0.255698653685568,34.5,0.208704902677829,65.5,0.252972354044627,34.5,0.205458144183108,65.5,0.229999646415858,34.5,0.181602013842664,65.5,0.234724194757109,34.5,0.186031612516153,65.5,0.240125848748506,34.5,0.190653487575777,65.5,0.241230308471467,34.5,0.193079985166026,65.5,0.246944784852036,34.5,0.19785637480368,65.5,0.2535136537466,34.5,0.203000237115421,65.5,0.260656910012709,34.5,0.212401682091914,65.5,0.266475323769149,34.5,0.216922335271559,65.5,0.272306355032085,34.5,0.221536620815309,65.5,0.0237338500661091,34.5,0.0235626109033744,65.5,0.0235834521898227,34.5,0.0234039106040282,65.5,0.0234727377991896,34.5,0.0234995883181238,65.5,0.00373132441514738,34.5,0.00356037137224589,65.5,0.00368979381449616,34.5,0.00355634852280976,65.5,0.00366305188185447,34.5,0.00394417696963082,65.5,0.00482053228044733,34.5,0.00489433888961305,65.5,0.00462913999125768,34.5,0.00476089665696158,65.5,0.00452976317078532,34.5,0.00469031541210395,65.5,0.0242268056506499,34.5,0.0241273231295259,65.5,0.02409799404638,34.5,0.0240132315936561,65.5,0.0240243042477785,34.5,0.0239628253295993
,65,0.24808027235972,35,0.206733494668348,65,0.2556514676513,35,0.209158683880029,65,0.252887690052605,35,0.205930936011663,65,0.230015830116018,35,0.181937522886681,65,0.234685152207438,35,0.186303334633032,65,0.240114906460611,35,0.19089036188786,65,0.240829810167194,35,0.193185122711985,65,0.246946970451754,35,0.197996841701701,65,0.253499205155733,35,0.203133772504868,65,0.260365895998842,35,0.212508347786631,65,0.266130349672937,35,0.217025240041784,65,0.271923398767453,35,0.22164905008631,65,0.0237613369083155,35,0.0235452629481815,65,0.0235722564933582,35,0.0234054785192239,65,0.0234602231391937,35,0.0235071839685349,65,0.00373673786346717,35,0.00355239439309389,65,0.00369304423385487,35,0.00355364567715836,65,0.00365822031866922,35,0.00393763379013514,65,0.00475722122386197,35,0.00486688271696433,65,0.00462014513557091,35,0.00477070402120289,65,0.0045312247639927,35,0.0046839968751814,65,0.0242332867411093,35,0.0241081514883898,65,0.024088478616273,35,0.0240212845048942,65,0.0240233037483954,35,0.0239500570578168
,64.5,0.248057277014458,35.5,0.207516514503719,64.5,0.255584601485637,35.5,0.209676617739272,64.5,0.252862479757745,35.5,0.206315226924295,64.5,0.230030829913459,35.5,0.18223112411718,64.5,0.234660629825697,35.5,0.186603996345245,64.5,0.240080383174577,35.5,0.191165381266377,64.5,0.240832770366798,35.5,0.193229375500079,64.5,0.246935233657017,35.5,0.198101157512264,64.5,0.253479943181498,35.5,0.203238309852153,64.5,0.260023644200592,35.5,0.212541384418929,64.5,0.265707148452033,35.5,0.217079473763044,64.5,0.271451432637583,35.5,0.221705346306629,64.5,0.0237606251812379,35.5,0.0235683391285745,64.5,0.0235608386316835,35.5,0.0234152256842296,64.5,0.0234789210038849,35.5,0.0235147665039959,64.5,0.00373504813146833,35.5,0.0035589519968988,64.5,0.00367911930586015,35.5,0.00355236711011178,64.5,0.00366083684513071,35.5,0.00393981096031078,64.5,0.00473654440885237,35.5,0.00486693550816349,64.5,0.00462729867519059,35.5,0.00477495125307979,64.5,0.00453783128240375,35.5,0.00468473164159891,64.5,0.0242365401714983,35.5,0.0241130969440049,64.5,0.0240986484939055,35.5,0.0240132242773128,64.5,0.0240274005490224,35.5,0.0239552222690192
,64,0.248016438307685,36,0.208410992580709,64,0.255549341785838,36,0.210153211422905,64,0.252815392499256,36,0.206750994304182,64,0.230041520776082,36,0.182546296755592,64,0.23466279155374,36,0.186912383556855,64,0.240055052175137,36,0.191524808803066,64,0.240837657535453,36,0.193343197990414,64,0.246910486088278,36,0.198186324269002,64,0.253443470492989,36,0.203357329431802,64,0.259554763836724,36,0.212619368998836,64,0.265190031225983,36,0.217178543617027,64,0.270846335610506,36,0.221796224926016,64,0.0237621147844945,36,0.0235828759265728,64,0.0235579275356018,36,0.0234121272961644,64,0.0234654302274477,36,0.0235173072705904,64,0.00374179490665874,36,0.00356456883876897,64,0.00369519585730263,36,0.00355052451771109,64,0.00366329585082182,36,0.00394609142019024,64,0.00475356269969507,36,0.0048633355103418,64,0.00462126806001307,36,0.00476803886738195,64,0.00454095065103966,36,0.00469633897922146,64,0.0242370391832908,36,0.024108019243436,64,0.0240945861065943,36,0.0240122811992891,64,0.0240297644139708,36,0.0239577645398264
,63.5,0.247982356481834,36.5,0.209396942783757,63.5,0.25549208950168,36.5,0.210729322994831,63.5,0.252797527719468,36.5,0.207228166375328,63.5,0.230002141142368,36.5,0.182938708473742,63.5,0.234643675939667,36.5,0.187289428957086,63.5,0.240021397552232,36.5,0.191867145968287,63.5,0.240790042140096,36.5,0.193510168991613,63.5,0.246896538931889,36.5,0.198321314735823,63.5,0.25341643213623,36.5,0.203466200769914,63.5,0.258930992433234,36.5,0.212717641867518,63.5,0.264663343617548,36.5,0.217283268294174,63.5,0.270130120796988,36.5,0.221898123322254,63.5,0.0237663858083389,36.5,0.0235591386067561,63.5,0.0235688764534854,36.5,0.023414014988793,63.5,0.0234441692258808,36.5,0.0235245999964002,63.5,0.00373479435328862,36.5,0.00355968340695076,63.5,0.00369811436484,36.5,0.00355356572063775,63.5,0.00365923656752414,36.5,0.00393963505673327,63.5,0.00474222741002396,36.5,0.00487112638796129,63.5,0.0046295653237874,36.5,0.0047662745028086,63.5,0.00452417380730503,36.5,0.00468246526081113,63.5,0.0242367286806414,36.5,0.0241127720777387,63.5,0.0241027746248252,36.5,0.0240131830516537,63.5,0.024022958319364,36.5,0.0239544255373888
,63,0.247944120000912,37,0.21056411117551,63,0.255406094885434,37,0.211329461272804,63,0.252766565868394,37,0.207750458607044,63,0.229961649144094,37,0.183359791405454,63,0.234618170489443,37,0.187700291598481,63,0.239986457613362,37,0.192252446801487,63,0.240750647341408,37,0.193668533994044,63,0.2468701531365,37,0.198496652079206,63,0.253418848695755,37,0.203651438148263,63,0.258159641414051,37,0.212791065102726,63,0.26426831707726,37,0.217330392559996,63,0.269178242343347,37,0.221969269107715,63,0.0237576065741758,37,0.0235563593849628,63,0.0235542019137646,37,0.0234179044004235,63,0.0234550135954406,37,0.0235181667563904,63,0.00373380015076413,37,0.00355628924449366,63,0.00369499860759447,37,0.00355148715450961,63,0.00366005865524834,37,0.00394068188758347,63,0.00474364671345375,37,0.00487038760310729,63,0.00462461819228396,37,0.00477695986841242,63,0.00452857490970458,37,0.0046842149874002,63,0.0242376436142173,37,0.0241171265546285,63,0.0240976294850639,37,0.024012756754695,63,0.0240204267961104,37,0.0239545463413302
,62.5,0.247920325795171,37.5,0.211889589668845,62.5,0.255370419733763,37.5,0.211940022682606,62.5,0.252668797300215,37.5,0.20825226657188,62.5,0.22990648073992,37.5,0.183731838220264,62.5,0.23459667896149,37.5,0.188081281562572,62.5,0.239920022501883,37.5,0.192660875846891,62.5,0.240707971411886,37.5,0.193772437734229,62.5,0.246842568280622,37.5,0.198618838683427,62.5,0.253574203284055,37.5,0.203823819599044,62.5,0.257194670254185,37.5,0.212868252399244,62.5,0.262766487062971,37.5,0.217411964078312,62.5,0.268076324593525,37.5,0.222060010294185,62.5,0.0237445333567265,37.5,0.023561888682071,62.5,0.02354900575916,37.5,0.0234221398239216,62.5,0.0234510307566959,37.5,0.0235289954454657,62.5,0.00373635237413329,37.5,0.00356519306609719,62.5,0.00369255698912326,37.5,0.00355496191138382,62.5,0.00366430252796044,37.5,0.00395007671224062,62.5,0.00473482175446507,37.5,0.00486022633518606,62.5,0.00462518110324316,37.5,0.00476191748358571,62.5,0.00452895650566814,37.5,0.00468512602864745,62.5,0.0242373778065437,37.5,0.0241252167318354,62.5,0.0240869674120829,37.5,0.0240181613169472,62.5,0.0240294348759454,37.5,0.023961479137684
,62,0.247860129099886,38,0.213380250862457,62,0.255309584130823,38,0.212622317166337,62,0.252621332801689,38,0.208792583669669,62,0.229851490938577,38,0.184159740755529,62,0.234561834979723,38,0.188507929445806,62,0.239861218259913,38,0.193067175481776,62,0.240652565356178,38,0.193932265616674,62,0.246824915289325,38,0.19878364959361,62,0.253493895765354,38,0.203960311560428,62,0.25595200417454,38,0.212958836670687,62,0.261773971602783,38,0.217503636815234,62,0.266612933441613,38,0.222159044455093,62,0.023750624515118,38,0.0235510756567437,62,0.0235673539233218,38,0.0234255691596442,62,0.0234570541686794,38,0.0235454480660611,62,0.0037343230380362,38,0.00356614040862394,62,0.00368916686352727,38,0.003549287284214,62,0.00366098030104525,38,0.00394319773676342,62,0.0047328108913196,38,0.00485016488401252,62,0.00464509721849153,38,0.00476972285478746,62,0.004543343131923,38,0.00468735865825927,62,0.0242282599615538,38,0.0241135389967467,62,0.0240989373323774,38,0.0240209711337202,62,0.0240205724807557,38,0.0239642614069184
,61.5,0.247829956640317,38.5,0.214921792342247,61.5,0.255243865312804,38.5,0.213419554307199,61.5,0.252559337787337,38.5,0.209357624855673,61.5,0.229792011154947,38.5,0.1846582809704,61.5,0.234511534035044,38.5,0.188995156748218,61.5,0.239778493078803,38.5,0.193505539863993,61.5,0.24059527193799,38.5,0.194137356382807,61.5,0.246777399016371,38.5,0.198938645944271,61.5,0.253362540987949,38.5,0.204139728271689,61.5,0.254525128938834,38.5,0.213005821286669,61.5,0.260034252440285,38.5,0.217569535236718,61.5,0.264949170925377,38.5,0.222244835260589,61.5,0.0237430339818664,38.5,0.0235450000912408,61.5,0.0235646865715683,38.5,0.0234306247475487,61.5,0.0234300958215612,38.5,0.0235396833375455,61.5,0.00373437092567247,38.5,0.00356045254135395,61.5,0.00368812241709765,38.5,0.00355468585931573,61.5,0.00366517995575546,38.5,0.0039432666724996,61.5,0.00472768870713863,38.5,0.0048477958835494,61.5,0.00463309987220989,38.5,0.00477128573346655,61.5,0.00453099207998144,38.5,0.00468041097485817,61.5,0.0242222428699648,38.5,0.0240992722566211,61.5,0.0240950424656877,38.5,0.0240117436131866,61.5,0.0240149370463362,38.5,0.0239614606770047
,61,0.247812550044803,39,0.216790152575517,61,0.255128337175984,39,0.214293395578266,61,0.252484564662,39,0.209961097526622,61,0.229730274530155,39,0.185146935091828,61,0.234482962876387,39,0.189501018417458,61,0.23970434061931,39,0.193998228664767,61,0.240540612884277,39,0.194340863125297,61,0.246718198580634,39,0.19916869419846,61,0.253206730220483,39,0.204368586859105,61,0.252830641335553,39,0.213054803608081,61,0.258120050099475,39,0.217658739353068,61,0.262806873136969,39,0.222309098376416,61,0.0237424106327344,39,0.0235523417272564,61,0.023554903339095,39,0.0234142184245669,61,0.0234449481958768,39,0.0235358371422706,61,0.00373004173798165,39,0.00356505635137904,61,0.0036878286515003,39,0.00355266889996381,61,0.00366382724278632,39,0.0039402134063852,61,0.00471864134054291,39,0.0048586380604071,61,0.00462996096669747,39,0.00475883655884054,61,0.00453878357327139,39,0.00467714516024008,61,0.0242240102036526,39,0.0240955234034736,61,0.0240952434550799,39,0.0240120910086578,61,0.0240204416331065,39,0.023954760484175
,60.5,0.247765820027392,39.5,0.218792637404752,60.5,0.255036609677437,39.5,0.215339539281832,60.5,0.252432296871512,39.5,0.210603015663596,60.5,0.229671176095945,39.5,0.185673366590554,60.5,0.234434362502389,39.5,0.190000251335247,60.5,0.239622355752961,39.5,0.194479558836487,60.5,0.240493390498415,39.5,0.194526909315754,60.5,0.246657740333279,39.5,0.199375995894108,60.5,0.253191159027578,39.5,0.204582970370873,60.5,0.250796390517504,39.5,0.213146653507171,60.5,0.255885872949388,39.5,0.217739421495823,60.5,0.260318827905394,39.5,0.222388072888675,60.5,0.023734804369665,39.5,0.0235466020043059,60.5,0.0235622164885498,39.5,0.0234259958394727,60.5,0.0234419611265726,39.5,0.0235404217406521,60.5,0.0037350837082943,39.5,0.00356004939929135,60.5,0.00368940225737103,39.5,0.00355321884037594,60.5,0.00365836594367611,39.5,0.00392258291383382,60.5,0.00472770662385298,39.5,0.00485768337543787,60.5,0.00464982128500956,39.5,0.00475740929797336,60.5,0.00453873900774538,39.5,0.00467311268653956,60.5,0.0242218082079042,39.5,0.0241020541843611,60.5,0.0240991796930416,39.5,0.0240140002982743,60.5,0.0240157656047399,39.5,0.0239504483771617
,60,0.24769522180277,40,0.22077963787716,60,0.254948309847015,40,0.216538197770563,60,0.252396707989806,40,0.21137376723934,60,0.229608835964441,40,0.186230103426069,60,0.23436905807888,40,0.190551290896757,60,0.239530988447993,40,0.195016321624932,60,0.240380485500909,40,0.19477308908412,60,0.246593248917743,40,0.199588525166804,60,0.253166002707666,40,0.204786750781861,60,0.248441445798695,40,0.213222729904067,60,0.253340133522875,40,0.21781139335694,60,0.257921984567692,40,0.222470398491056,60,0.0237295524251869,40,0.0235527103215426,60,0.0235495300441693,40,0.0234221521145392,60,0.0234396895974479,40,0.0235319100720263,60,0.00375441114184551,40,0.00356267863174707,60,0.00368087679660608,40,0.0035507868532986,60,0.00366241601498483,40,0.00392140227406675,60,0.00472583993410359,40,0.00484733090734579,60,0.00463715141886588,40,0.00475544873745075,60,0.0045484788532586,40,0.00466322537302114,60,0.0242259601499278,40,0.0241078040717006,60,0.0240851999115381,40,0.0240140688262483,60,0.0240207282999769,40,0.0239393368978702
,59.5,0.247655710565582,40.5,0.222973041165341,59.5,0.254866255426162,40.5,0.217884453315023,59.5,0.252459895106636,40.5,0.212200620220896,59.5,0.229546826568139,40.5,0.186864708865671,59.5,0.234319665338514,40.5,0.191174750001138,59.5,0.239461730155128,40.5,0.19559850524455,59.5,0.240297902407072,40.5,0.195014587752105,59.5,0.246511355902524,40.5,0.199856407119255,59.5,0.253053002953851,40.5,0.205032022994864,59.5,0.245744689278541,40.5,0.213303049359204,59.5,0.250549682994276,40.5,0.21789362546457,59.5,0.255403378921722,40.5,0.222552740367961,59.5,0.0237348793559119,40.5,0.0235520788592159,59.5,0.0235605620648403,40.5,0.0234319499070847,59.5,0.0234388905732507,40.5,0.0235397499629292,59.5,0.00374525608568567,40.5,0.00356219309018902,59.5,0.00369257871815303,40.5,0.00355132790573719,59.5,0.00366405411316914,40.5,0.00391622766415369,59.5,0.00472186601500751,40.5,0.00484508520886617,59.5,0.0046511927713565,40.5,0.00475190136864783,59.5,0.00455336842008803,40.5,0.00466451397534395,59.5,0.0242233095941147,40.5,0.0241073288484178,59.5,0.0240910687847947,40.5,0.0240164175712857,59.5,0.0240251391038249,40.5,0.0239444000920484
,59,0.247612079707452,41,0.225136377497211,59,0.254786179106421,41,0.21941654930766,59,0.252477290626344,41,0.213168495280605,59,0.229475459328889,41,0.187527758951709,59,0.234260124222743,41,0.191812507690953,59,0.239373831851907,41,0.196155405063076,59,0.24020572886456,41,0.195283288240839,59,0.246416502261798,41,0.200104641129108,59,0.25293188103377,41,0.205320913422492,59,0.242942524950833,41,0.213411758104162,59,0.247704830321241,41,0.217993980840416,59,0.252484711250566,41,0.222666227100688,59,0.0237326842055119,41,0.0235705068128206,59,0.0235648333119137,41,0.0234280374077441,59,0.0234468557466346,41,0.023534530259747,59,0.00374475571469984,41,0.00355768799988231,59,0.00369757644097086,41,0.00355483853960361,59,0.00366568449696761,41,0.00391041203301344,59,0.00473972518585243,41,0.0048419605236165,59,0.00465067445847863,41,0.00474684470883118,59,0.00455691994271302,41,0.00465895754398111,59,0.0242195999037348,41,0.0241093477895375,59,0.0240964080009187,41,0.0240136642285685,59,0.0240138494084569,41,0.0239489491591403
,58.5,0.247552063524831,41.5,0.22733458500636,58.5,0.254662533789354,41.5,0.221128984125307,58.5,0.252360459779483,41.5,0.214238245535308,58.5,0.229402937386077,41.5,0.188338008620439,58.5,0.234191285785688,41.5,0.192554697021203,58.5,0.239274025007271,41.5,0.196861224650649,58.5,0.240100799050787,41.5,0.195641799885744,58.5,0.246288707292408,41.5,0.200411229222033,58.5,0.252818787951018,41.5,0.205614015532537,58.5,0.240066088275937,41.5,0.213507483203251,58.5,0.244735210145509,41.5,0.21807439112457,58.5,0.249418115607797,41.5,0.222743363053345,58.5,0.0237306783331905,41.5,0.02357360865978,58.5,0.0235586558612747,41.5,0.0234239708903626,58.5,0.0234451653523779,41.5,0.0235417205487233,58.5,0.00374804887374577,41.5,0.00356634109049007,58.5,0.00369149971432254,41.5,0.00355412229198685,58.5,0.00366102445955403,41.5,0.0038992038518727,58.5,0.00472867806070337,41.5,0.0048618446929387,58.5,0.00466020700643382,41.5,0.00473520922854219,58.5,0.00455588818223063,41.5,0.00465008336751519,58.5,0.0242208094324983,41.5,0.0241126413351419,58.5,0.0240906707968356,41.5,0.024003927413647,58.5,0.0240199499515967,41.5,0.0239432781735525
